n,ecg_data_interp,ecg_signal_quant
0,1.38954545454356,7227
1,1.39182199680411,7239
2,1.39387055773371,7249
3,1.3954436843081,7258
4,1.39636363636173,7262
5,1.39572387854739,7259
6,1.39498724393125,7255
7,1.39477851637532,7254
8,1.39558441558248,7258
9,1.39739119826286,7268
10,1.4005256572265,7284
11,1.40475752629335,7306
12,1.40961038960845,7331
13,1.41367983276659,7352
14,1.417661477878,7373
15,1.42146205022021,7393
16,1.42499999999807,7411
17,1.42764957853686,7425
18,1.43023468314311,7439
19,1.43296140091641,7453
20,1.43590909090715,7468
21,1.43844184343604,7481
22,1.44124279491938,7496
23,1.44424805059713,7511
24,1.44720779220586,7527
25,1.44915756945506,7537
26,1.45056542023086,7544
27,1.45127372918009,7548
28,1.45110389610196,7547
29,1.44920732757152,7537
30,1.44660929953384,7524
31,1.44364421792096,7508
32,1.44058441558246,7492
33,1.4370588955315,7474
34,1.43398972642928,7458
35,1.43158747011258,7446
36,1.42987012986815,7437
37,1.42814072153354,7428
38,1.4270333617088,7422
39,1.42653406923593,7419
40,1.42655844155645,7419
41,1.42620428134514,7418
42,1.42663195441752,7420
43,1.42813515230402,7428
44,1.43084415584216,7442
45,1.43434060758125,7460
46,1.43887564079499,7484
47,1.44415697681613,7511
48,1.44974025973828,7540
49,1.45421843551499,7563
50,1.45854272432275,7586
51,1.46272796764976,7608
52,1.46668831168636,7628
53,1.46988594864601,7645
54,1.47249425897002,7658
55,1.47425865387798,7668
56,1.47487012986819,7671
57,1.47314114798122,7662
58,1.47033962771713,7647
59,1.46684912145222,7629
60,1.46298701298505,7609
61,1.45864949259308,7586
62,1.45436889502718,7564
63,1.45023582274986,7543
64,1.44623376623177,7522
65,1.44134253235272,7496
66,1.4370655922808,7474
67,1.4338634399903,7457
68,1.43201298701098,7448
69,1.43131059472818,7444
70,1.43191377998386,7447
71,1.43352590744143,7456
72,1.43571428571228,7467
73,1.43710037263864,7474
74,1.43879851152278,7483
75,1.44101564177439,7495
76,1.44389610389411,7510
77,1.44695315265456,7526
78,1.4508319157918,7546
79,1.45544509686064,7570
80,1.46045454545257,7596
81,1.46485092135545,7619
82,1.46874781302799,7639
83,1.47174841696917,7654
84,1.47350649350452,7664
85,1.4727950599612,7660
86,1.47123150680858,7652
87,1.4694688280387,7643
88,1.46805194804995,7635
89,1.46718061535003,7631
90,1.46706499371967,7630
91,1.4675354192531,7633
92,1.46824675324474,7636
93,1.46776227012904,7634
94,1.46745753707314,7632
95,1.46766603488557,7633
96,1.46863636363435,7638
97,1.47016397446928,7646
98,1.47260074628202,7659
99,1.47578379221539,7675
100,1.47935064934864,7694
101,1.48194764779063,7708
102,1.48442310242953,7720
103,1.48667954830405,7732
104,1.48850649350451,7742
105,1.48925759068621,7746
106,1.48908420283758,7745
107,1.48778385674438,7738
108,1.48519480519282,7724
109,1.48022820567078,7699
110,1.47465751136013,7670
111,1.46922980031291,7641
112,1.46454545454344,7617
113,1.46081966647174,7598
114,1.45828640811685,7584
115,1.45678275971654,7577
116,1.45597402597198,7572
117,1.45436261566812,7564
118,1.45348103185493,7559
119,1.45372924462659,7561
120,1.45538961038756,7569
121,1.45827431912247,7584
122,1.46261371697065,7607
123,1.4681181427012,7636
124,1.47428571428368,7668
125,1.47975530460465,7696
126,1.48513636179785,7724
127,1.49029946355517,7751
128,1.49512987012785,7776
129,1.49876324732662,7795
130,1.50233290852756,7814
131,1.50610303044691,7833
132,1.51012987012786,7854
133,1.51394123753686,7874
134,1.51755791295242,7893
135,1.52054605371775,7908
136,1.52240259740059,7918
137,1.52163273477575,7914
138,1.51965682237069,7904
139,1.51692060517547,7889
140,1.51383116882915,7873
141,1.51043321839232,7856
142,1.50717250042313,7839
143,1.50406734269278,7823
144,1.50097402597198,7806
145,1.49670566796616,7784
146,1.4925967653336,7763
147,1.48895839512665,7744
148,1.48597402597197,7728
149,1.48337952005442,7715
150,1.48149323236954,7705
151,1.48021173167948,7699
152,1.47935064934858,7694
153,1.4777157968213,7686
154,1.47679139259065,7681
155,1.47699727599916,7682
156,1.47857142856937,7690
157,1.48118116328634,7704
158,1.4849930370971,7723
159,1.48959013941043,7747
160,1.49435064934861,7772
161,1.49774143880206,7790
162,1.50046665077359,7804
163,1.50245782321183,7814
164,1.50370129869926,7821
165,1.5035686592873,7820
166,1.50318419053052,7818
167,1.50294939471839,7817
168,1.50311688311483,7818
169,1.5033100205026,7819
170,1.50412938742031,7823
171,1.50554990170349,7830
172,1.50740259740052,7840
173,1.50852832874246,7846
174,1.51014637739609,7854
175,1.51247814156569,7866
176,1.51558441558234,7882
177,1.51901552847532,7900
178,1.52292861909856,7921
179,1.5269963151037,7942
180,1.53077922077716,7962
