t_recon,spikes,recon,th
0.03277875,-0.25,1.65,0.512890625
0.0327895,-0.25,1.637109375,0.512890625
0.03280025,-0.25,1.62421875,0.512890625
0.032811,-0.25,1.5984375,0.52578125
0.102931,0.25,1.65,0.512890625
0.1036035,0.25,1.662890625,0.512890625
0.106307875,-0.25,1.65,0.512890625
0.107132125,-0.25,1.637109375,0.512890625
0.111837375,-0.25,1.62421875,0.512890625
0.11265475,-0.25,1.611328125,0.512890625
0.113544375,-0.25,1.5984375,0.512890625
0.1181075,-0.25,1.57265625,0.52578125
0.11894525,-0.25,1.559765625,0.512890625
0.119995625,-0.25,1.546875,0.512890625
0.121906,0.25,1.57265625,0.52578125
0.13149975,0.25,1.62421875,0.5515625
0.1343165,0.25,1.65,0.52578125
0.13842325,-0.25,1.62421875,0.52578125
0.140902625,0.25,1.637109375,0.512890625
0.141352875,0.25,1.65,0.512890625
0.1417865,0.25,1.662890625,0.512890625
0.14313175,0.25,1.688671875,0.52578125
0.145930875,-0.25,1.637109375,0.5515625
0.15291775,-0.25,1.611328125,0.52578125
0.157486375,-0.25,1.5984375,0.512890625
0.158207,-0.25,1.585546875,0.512890625
0.158772,-0.25,1.57265625,0.512890625
0.1617085,0.25,1.5984375,0.52578125
0.162649125,0.25,1.62421875,0.52578125
0.16516775,-0.25,1.5984375,0.52578125
0.166142125,-0.25,1.57265625,0.52578125
0.16753725,-0.25,1.546875,0.52578125
0.192131375,0.25,1.5984375,0.5515625
0.197626125,-0.25,1.57265625,0.52578125
0.198307875,-0.25,1.559765625,0.512890625
0.200899875,0.25,1.57265625,0.512890625
0.201711,0.25,1.585546875,0.512890625
0.20471625,-0.25,1.57265625,0.512890625
0.205439375,-0.25,1.559765625,0.512890625
0.20614225,-0.25,1.546875,0.512890625
0.212214375,0.25,1.57265625,0.52578125
0.212843,0.25,1.585546875,0.512890625
0.2134855,0.25,1.5984375,0.512890625
0.21718125,-0.25,1.57265625,0.52578125
0.21796,-0.25,1.559765625,0.512890625
0.21939325,0.25,1.57265625,0.512890625
0.219958375,0.25,1.585546875,0.512890625
0.220491625,0.25,1.5984375,0.512890625
0.23273275,-0.25,1.57265625,0.52578125
0.23369525,-0.25,1.559765625,0.512890625
0.234615625,-0.25,1.546875,0.512890625
0.24027275,0.25,1.57265625,0.52578125
0.241457125,-0.25,1.559765625,0.512890625
0.242377125,-0.25,1.546875,0.512890625
0.246836625,0.25,1.559765625,0.512890625
0.252548375,0.25,1.57265625,0.512890625
0.254908875,-0.25,1.559765625,0.512890625
0.255402875,-0.25,1.546875,0.512890625
0.2558335,-0.25,1.533984375,0.512890625
0.256856625,-0.25,1.508203125,0.52578125
0.260059375,0.25,1.559765625,0.5515625
0.261750625,0.25,1.585546875,0.52578125
0.264332625,-0.25,1.559765625,0.52578125
0.26530725,-0.25,1.546875,0.512890625
0.271123,0.25,1.559765625,0.512890625
0.2719925,0.25,1.57265625,0.512890625
0.273201625,0.25,1.585546875,0.512890625
0.281857875,-0.25,1.559765625,0.52578125
0.28259525,-0.25,1.546875,0.512890625
0.285565125,0.25,1.559765625,0.512890625
0.286324625,0.25,1.57265625,0.512890625
0.28729675,0.25,1.585546875,0.512890625
0.290110125,-0.25,1.559765625,0.52578125
0.292162875,-0.25,1.533984375,0.52578125
0.319027375,0.25,1.559765625,0.52578125
0.321462125,-0.25,1.546875,0.512890625
0.32207775,-0.25,1.533984375,0.512890625
0.322729125,-0.25,1.52109375,0.512890625
0.329639,0.25,1.546875,0.52578125
0.33400625,-0.25,1.533984375,0.512890625
0.3368065,0.25,1.546875,0.512890625
0.33830825,0.25,1.559765625,0.512890625
0.341247875,-0.25,1.546875,0.512890625
0.343515875,0.25,1.559765625,0.512890625
0.34863725,0.25,1.57265625,0.512890625
0.349351625,0.25,1.585546875,0.512890625
0.349924,0.25,1.5984375,0.512890625
0.3513535,0.25,1.62421875,0.52578125
0.3869,-0.25,1.57265625,0.5515625
0.3907145,-0.25,1.546875,0.52578125
0.391747125,-0.25,1.52109375,0.52578125
0.392464375,-0.25,1.4953125,0.52578125
0.394156,-0.25,1.44375,0.5515625
0.41544225,0.25,1.546875,0.603125
0.431475625,-0.25,1.4953125,0.5515625
0.435298625,0.25,1.52109375,0.52578125
0.43787475,-0.25,1.508203125,0.512890625
0.438507125,-0.25,1.4953125,0.512890625
0.439153375,-0.25,1.482421875,0.512890625
0.44859425,0.25,1.508203125,0.52578125
0.450579875,-0.25,1.4953125,0.512890625
0.451240875,-0.25,1.482421875,0.512890625
0.45190675,-0.25,1.46953125,0.512890625
0.454962625,0.25,1.4953125,0.52578125
0.458809375,-0.25,1.46953125,0.52578125
0.459965,-0.25,1.456640625,0.512890625
0.472032375,-0.25,1.44375,0.512890625
0.473393125,0.25,1.456640625,0.512890625
0.4741575,0.25,1.46953125,0.512890625
0.47532525,0.25,1.482421875,0.512890625
0.4779795,-0.25,1.456640625,0.52578125
0.481535,0.25,1.482421875,0.52578125
0.48258925,0.25,1.4953125,0.512890625
0.485721875,0.25,1.508203125,0.512890625
0.4868455,0.25,1.52109375,0.512890625
0.487821625,0.25,1.533984375,0.512890625
0.50359725,-0.25,1.508203125,0.52578125
0.5095115,-0.25,1.4953125,0.512890625
0.510166125,-0.25,1.482421875,0.512890625
0.510917875,-0.25,1.46953125,0.512890625
0.513340875,0.25,1.4953125,0.52578125
0.517530625,-0.25,1.44375,0.5515625
0.52429175,-0.25,1.41796875,0.52578125
0.525212125,-0.25,1.405078125,0.512890625
0.527753,0.25,1.41796875,0.512890625
0.5301005,0.25,1.430859375,0.512890625
0.530764125,0.25,1.44375,0.512890625
0.5315645,0.25,1.46953125,0.52578125
0.532666125,0.25,1.52109375,0.5515625
