t_recon,spikes,recon
0.16749825,-0.25,1.65
0.357068625,0.25,1.753125
0.39067525,-0.25,1.65
0.394087125,-0.25,1.546875
0.415457625,0.25,1.65
0.46584325,-0.25,1.546875
0.494399125,0.25,1.65
0.517446625,-0.25,1.546875
0.53319625,0.25,1.65
0.5355055,0.25,1.753125
0.53728,0.25,1.85625
0.538538625,0.25,1.959375
0.539564125,0.25,2.0625
0.540489375,0.25,2.165625
0.541362,0.25,2.26875
0.54218925,0.25,2.371875
0.54303525,0.25,2.475
0.5438415,0.25,2.578125
0.5446145,0.25,2.68125
0.54535475,0.25,2.784375
0.54608,0.25,2.8875
0.546811,0.25,2.990625
0.5475575,0.25,3.09375
0.548413625,0.25,3.196875
0.5639985,-0.25,3.09375
0.565222125,-0.25,2.990625
0.56587975,-0.25,2.8875
0.56638925,-0.25,2.784375
0.56683125,-0.25,2.68125
0.56723425,-0.25,2.578125
0.567605125,-0.25,2.475
0.567976875,-0.25,2.371875
0.56831,-0.25,2.26875
0.568648,-0.25,2.165625
0.5689835,-0.25,2.0625
0.56931425,-0.25,1.959375
0.569651875,-0.25,1.85625
0.569987625,-0.25,1.753125
0.570332,-0.25,1.65
0.57068075,-0.25,1.546875
0.57104475,-0.25,1.44375
0.57141475,-0.25,1.340625
0.571805625,-0.25,1.2375
0.572213125,-0.25,1.134375
0.572649125,-0.25,1.03125
0.573118125,-0.25,0.928125
0.5736295,-0.25,0.825
0.57420375,-0.25,0.721875
0.574867125,-0.25,0.61875
0.57570775,-0.25,0.515625
0.57691725,-0.25,0.4125
0.58302975,0.25,0.515625
0.584231625,0.25,0.61875
0.58540775,0.25,0.721875
0.586918375,0.25,0.825
0.589460875,0.25,0.928125
0.5914965,0.25,1.03125
0.601896625,0.25,1.134375
0.60894775,0.25,1.2375
0.63669875,0.25,1.340625
0.64987975,0.25,1.44375
0.676647625,0.25,1.546875
0.70908675,0.25,1.65
0.718055625,-0.25,1.546875
0.734484375,0.25,1.65
0.767908875,0.25,1.753125
0.79223125,0.25,1.85625
0.80549625,0.25,1.959375
0.818205,0.25,2.0625
0.8251435,0.25,2.165625
0.861368125,-0.25,2.0625
0.868462125,-0.25,1.959375
0.8736085,-0.25,1.85625
0.876873,-0.25,1.753125
0.88043575,-0.25,1.65
0.8832965,-0.25,1.546875
0.887728,-0.25,1.44375
0.89013075,-0.25,1.340625
0.893529875,-0.25,1.2375
0.89944375,-0.25,1.134375
0.905638875,-0.25,1.03125
0.90984075,-0.25,0.928125
0.921115125,-0.25,0.825
0.943431375,0.25,0.928125
0.9609815,0.25,1.03125
0.96966525,0.25,1.134375
0.985828375,0.25,1.2375
0.995033875,0.25,1.340625
1.01364975,0.25,1.44375
1.0325685,0.25,1.546875
1.055243,0.25,1.65
1.102954125,0.25,1.753125
1.11990975,-0.25,1.65
1.134371,0.25,1.753125
1.167460375,-0.25,1.65
1.35707125,0.25,1.753125
