+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                          ;
+--------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; adaptive_threshold_control_0|weyls_discrepancy_0|priority_encoder_1            ; 5     ; 1              ; 2            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|priority_encoder_0            ; 5     ; 1              ; 2            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:14:spike_2_tc ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:13:spike_2_tc ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:12:spike_2_tc ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:11:spike_2_tc ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:10:spike_2_tc ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:9:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:8:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:7:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:6:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:5:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:4:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:3:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:2:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:1:spike_2_tc  ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0|\gen_spike_2_tc:0:spike_2_tc  ; 8     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|weyls_discrepancy_0                               ; 33    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0|spike_shift_reg_0                                 ; 44    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; adaptive_threshold_control_0                                                   ; 59    ; 28             ; 0            ; 28             ; 23     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
